RowID,EntryID,Account,Folio,Date,EntryText,Place,Event,Notes
30,V2105,Vernon,54r,1643-03-02,15 p[ai]d Collonell nathaneel Fines uppon accompt when he went to ward glocester £1500 - 0s - 0d,Gloucester,,
31,V0282,Vernon,12v,1642-08-23,sallery p[ai]d Nathaneel and w[illia]m Hill for apprehending and bringinge up James Barrow and Edward Hudleston who wear raisinge forces in Gloastershire against the parlim[en]t £20 - 0s - 0d,Gloucestershire,,
32,V0599,Vernon,21r,1642-09-06,91 p[ai]d Captaine william willoughby by way of imprest for the charge of securinge the Blockhouse at Gravesend and the ordinance at wolwich £100 - 0s - 0d,"Gravesend, Kent",,
33,V0003,Vernon,5r,1642-08-02,[del: p[ai]d S[i]r John Evelinge for S[i]r Phillip Stapleton by order of the Committee of Lord[es] and Commons for defence of the kingdome for the furnishinge of 40 gentlemen for the lord Generall[es] guard the some of six hundreth pownd[es] w[hi]ch monie was first paid by the Th[reasur]ers of monie and plate in yealdhall and made good to them uppon the first 5000 [pounds] receaved of them.],"Guildhall, London",,
34,V0006,Vernon,5r,1642-08-05,4 p[ai]d Richard Lewis assigne of S[i]r william Lewis on thowsand pownd[es] to be imployed for the defence of hampshire £1000 - 0s - 0d,Hampshire,,
35,V0116,Vernon,8r,1642-08-12,27 p[ai]d Roger Wise Ingineer goinge to the countye of southampton £15 - 0s - 0d,Hampshire,,
36,V0117,Vernon,8r,1642-08-12,28 p[ai]d Rob[er]t Good Captaine of the pioners goinge for the same place £10 - 0s - 0d,Hampshire,,
37,V0173,Vernon,9v,1642-08-16,40 p[ai]d John Lisle Esq[uire] 2000 to be imployed for the present service by [th]e direction and apointment of the Committee nominated by both howses or anie 3 of them for the countye of southampt[on] £2000 - 0s - 0d,Hampshire,,
38,V2262,Vernon,57v,1643-03-17,49 p[ai]d Thomas Pudsey for soe much disbursed by Jams Kirle Esquire receaver of my lord g[e]n[era]ll[es] Rent[es] in Herefordshir toward[es] payment of his Regi[men]t & troope of horse £280 - -s - -d,Herefordshire,,
39,V2394,Vernon,60r,1643-04-13,p[ai]d Cornet Jo[hn] mansell for a reward for taking [th]e kings coll[our]s at hopton heath £20 - 0s - 0d,"Hopton Heath, Staffordshire",battle,
40,V0093,Vernon,7v,1642-08-11,23 p[ai]d M[aste]r Henry Martine for the charge of raisinge 2000 menn whereof on thowsand for Hull uppon acc[oun]tt £2000 - 0s - 0d,"Hull, Yorkshire",,
41,V0150,Vernon,9r,1642-08-13,36 p[ai]d Gwalter frost for severall provisions by him provided and sent to the towne of Hull £961 - 16s - 1d,"Hull, Yorkshire",,
42,V0170,Vernon,9v,1642-08-16,39 p[ai]d Capt[ain] John Bradley for reparinge of armes w[hi]ch came from hull as also for buyinge of pistoll Cases Cartrages & other things to furnish the said arms £500 - 0s - 0d,"Hull, Yorkshire",,
43,V0315,Vernon,13v,1642-08-25,sallery p[ai]d w[illia]m Dickenson m[aste]r of the castle of Hull for fraight & wages of menn for bringinge Tent[es] and Hulsters from hull £16 - 15s - 0d,"Hull, Yorkshire",,
44,V0338,Vernon,14r,1642-08-26,60 p[ai]d m[aste]r durand Hotham to be imployed by S[i]r John Hotham in paym[en]t of the garison of hull £2000 - 0s - 0d,"Hull, Yorkshire",,
45,V0400,Vernon,16r,1642-08-29,39 p[ai]d Captaine Bradley for reparing the Armes that came from Hull & buyinge pistoll[es] and other thing[es] for his service £500 - 0s - 0d,"Hull, Yorkshire",,
46,V0409,Vernon,16r,1642-08-30,23 p[ai]d to m[aste]r Henry Martine by way of imprest for the service of hull £70 - 0s - 0d,"Hull, Yorkshire",,
47,V0620,Vernon,21v,1642-09-06,12 p[ai]d Collonel John Browne for an allowance made to his sold[ier]s that came from hull 30. 6. for his surgeon[es] chest 15l for marshall[es] Irons 7l in all £52 - 6s - 0d,"Hull, Yorkshire",,
48,V1965,Vernon,51r,1643-01-23,50 p[ai]d C[aptain] John Raymond for severall pay[ments] to his compa[ny] of foot brought from Ipswich as by the warr[an]t £32 - 10s - 8d,"Ipswich, Suffolk",,
49,V0328,Vernon,14r,1642-08-25,sallery p[ai]d m[aste]r Thomas Pudsey for the like some lent and disbursed by him in the service of kent £100 - 0s - 0d,Kent,,
50,V0521,Vernon,19r,1642-09-05,81 p[ai]d Francis Allin toward[es] the charges of those forces that wear drawne out of London into kent £400 - 0s - 0d,Kent,,
51,V0522,Vernon,19r,1642-09-05,81 p[ai]d him more uppon the same acc[oun]tt £100 - 0s - 0d,Kent,,
52,V1201,Vernon,35r,1642-11-09,133 p[ai]d m[aste]r w[illia]m Barton the Committe for Lancreshire for the leviinge of dragoon[er]s ther uppon accompt £500 - 0s - 0d,Lancashire,,
53,V0249,Vernon,11v,1642-08-19,48 p[ai]d the Lord willougby of parham for soe much disbursed for service of the kingdome in Lincolnshire £100 - 0s - 0d,Lincolnshire,,
54,V0323,Vernon,13v,1642-08-25,59 p[ai]d M[aste]r Samuel warner apointed by [th]e Committe of the militia in the citty of london by order of his Excellence for the service of the state £500 - 0s - 0d,London,,
55,V0441,Vernon,17r,1642-09-01,sallery 103 p[ai]d Docter Burges for postage & other charges from London to Portsmouth £5 - 7s - 0d,London,,
56,V0521,Vernon,19r,1642-09-05,81 p[ai]d Francis Allin toward[es] the charges of those forces that wear drawne out of London into kent £400 - 0s - 0d,London,,
57,V0522,Vernon,19r,1642-09-05,81 p[ai]d him more uppon the same acc[oun]tt £100 - 0s - 0d,London,,
58,V0727,Vernon,24v,1642-09-26,19 p[ai]d Captaine Ro[bert] burghill first comissarie for the valuing & inroling of horses at lond[o]n for his pay & entertainm[en]t for 3 whole months endinge the 10 present £42 - -s - -d,London,,
59,V1048,Vernon,32r,1642-10-19,119 p[ai]d Edward Pilkington for part of the pay of himself & other gun smiths sent from lond[on] £50 - 0s - 0d,London,,
60,V2102,Vernon,54r,1643-02-20,132 p[ai]d Collonel Holmsted the 20 February In london w[hi]ch was taken out of the mony sent me uppon accompt of the Regi[men]t £200 - 0s,London,,
61,V2371,Vernon,59v,1643-04-12,143 p[ai]d in part of 6 warrent[es] due to the severall Captains of the Regi[men]t of dragoners under Collonel seton according to [th]e noat[es] warent[es] & receipt[es] - captaine sparro had his warr[an]t to rec[eive] the [?rem?] in Lond[o]n [?1378?] £870 - 0s - 0d,London,,
62,V2694,Vernon,66r,1643-05-25,75 p[ai]d S[i]r Jo[hn] meldrome for his owne severall pays as by the warr[an]t to [th]e 1 June. this warrent was p[ai]d in london & charged to my acc[oun]t by his Exc[ellencies] l[ette]re £465 - 2s - -d,London,,
63,V2695,Vernon,66r,1643-05-25,33 p[ai]d S[i]r w[illia]m Balfour by [th]e same order in london 25 maye for his severall payes £294 - -s - -d,London,,
64,V2716,Vernon,66v,1643-06-21,183 p[ai]d Jo[hn] Francis major to serg[ean]t major g[e]n[era]ll skippon for soe much by him disborsed for a carriage of Amunition & other necessaries from london to Alisbury £35 - 0s - 0d,London,,
65,V3358,Vernon,78v,1643-10-16,p[ai]d m[istres]s Elizabeth vaughan wiff to m[aste]r walter vaughan slaine at newberry for arrears dew to him £56 - -s - -d,"Newbury, Berkshire",battle,
66,V3642,Vernon,82v,1643-12-12,169 p[ai]d John Adams trompeter to Capt[ain] Carr wounded at newberry £4 - 4s - 0d,"Newbury, Berkshire",battle,
67,V3843,Vernon,84v,1644-02-19,109 p[ai]d the wiff of Jo[hn] walker troop[er] of Ca[ptain] lionel Coplies troop slain at newberry £3 - 10s - -d,"Newbury, Berkshire",battle,
68,V3963,Vernon,86r,1644-03-23,49 p[ai]d Jacob Cremer his Exc[ellencys] trompeter wounded at newberry fight uppon his arrears 10.0.0 £10 - 0s - 0d,"Newbury, Berkshire",battle,
69,V0164,Vernon,9v,1642-08-15,38 p[ai]d S[i]r Guilbert Pickeringe & John Crew for payment of such forces as ar at this present imployed for the defence of the countye & towne of northampton by the apointm[en]t of such deputye leifft[enants] as shalbe in the said towne or the greater number of £500 - 0s - 0d,Northampton,,
70,V2055,Vernon,53r,1642-09-05,18 p[ai]d Captaine Sheiffeild In northampton [th]e 5 [Septem]bre uppon accompt £200 - 0s - 0d,Northampton,,
71,V0722,Vernon,24v,1642-09-12,38 p[ai]d Collonel Hollis at northampton the 5 & 12 [Septem]bre at northampton for on 1/2 monthes pay for his officers and soldiers £829 - 10s - -d,Northampton,,
72,V0723,Vernon,24v,1642-09-12,33 p[ai]d Collonell [^Henry^] Cholmly as above £829 - 10s - -d,Northampton,,
73,V0908,Vernon,29r,1642-09-19,10 p[ai]d my lord Stamford for allowance of 11 wagons for his regiment at xll a wagon - this was p[ai]d the 19 [Septem]bre at northamp[ton] £440 - 0s - 0d,Northampton,,
74,V0728,Vernon,24v,1642-09-26,11 p[ai]d serjant major Gunter for soe much dew to himself officers & troope of harquebusiers to the first of [Octo]bre next wherof 200l was paid [th]e 5 [Septem]bre at northampton & 152.18. hear at worcester £352 - 18s - -d,Northampton,,
75,V0741,Vernon,25r,1642-09-27,"15 p[ai]d Captaine Nathaniel Fines in full payment of himself and officers of his troope untill the 1 [Octo]bre next inclusive 149.16., more p[ai]d him at northampton uppon his acc[oun]tt 200l £349 - 16s - 0d",Northampton,,
