DocID	Ref	Order	Sort	Description	Pages	Notes
62	TNA, SP 28/151 (unfol.)	22	TNA SP 28 151 22	Stow	8	
63	TNA, SP 28/151 (unfol.)	23	TNA SP 28 151 23	Addington	8	
64	TNA, SP 28/151 (unfol.)	24	TNA SP 28 151 24	Slapton	12	DocID 49 is another copy of the same account.
65	TNA, SP 28/151 (unfol.)	25	TNA SP 28 151 25	Chartridge	7	
66	TNA, SP 28/151 (unfol.)	26	TNA SP 28 151 26	the Brookend of Shenley	6	
67	TNA, SP 28/151 (unfol.)	27	TNA SP 28 151 27	Harwood parva	10	
68	TNA, SP 28/151 (unfol.)	28	TNA SP 28 151 28	Marsh Gibbons, Buckingham hundred	7	
69	TNA, SP 28/151 (unfol.)	29	TNA SP 28 151 29	Nashe hamlett in the parishe of Whaddon	6	
70	TNA, SP 28/151 (unfol.)	30	TNA SP 28 151 30	Maids Morton	10	
71	TNA, SP 28/151 (unfol.)	31	TNA SP 28 151 31	part of the towne of Haddenham	24	Articles 11-29. Other part of same account is DocID 83.
72	TNA, SP 28/151 (unfol.)	32	TNA SP 28 151 32	Hugenden	7	
73	TNA, SP 28/151 (unfol.)	33	TNA SP 28 151 33	Elizabeth Sympson widdow, Beconsfield	2	
74	TNA, SP 28/151 (unfol.)	34	TNA SP 28 151 34	Beconsfield	11	
75	TNA, SP 28/151 (unfol.)	35	TNA SP 28 151 35	John Whitfeild gent of Beconsfield	2	
76	TNA, SP 28/151 (unfol.)	36	TNA SP 28 151 36	Abbotts Aston	6	
77	TNA, SP 28/151 (unfol.)	37	TNA SP 28 151 37	Mouncks Risborough	5	
78	TNA, SP 28/151 (unfol.)	38	TNA SP 28 151 38	Dunton	4	
79	TNA, SP 28/151 (unfol.)	39	TNA SP 28 151 39	the Forreins of Chepinge Wicombe	12	
80	TNA, SP 28/151 (unfol.)	40	TNA SP 28 151 40	Hampden magna	10	
81	TNA, SP 28/151 (unfol.)	42	TNA SP 28 151 42	Stone cum Bishopston	6	
82	TNA, SP 28/151 (unfol.)	43	TNA SP 28 151 43	Chesham, Burnham hundred	33	
83	TNA, SP 28/151 (unfol.)	44	TNA SP 28 151 44	Haddenham	5	Articles 1-10. Other part of same account is DocID 71.
84	TNA, SP 28/151 (unfol.)	45	TNA SP 28 151 45	Steeven Pursell of Prebend end in Buckingham	7	
85	TNA, SP 28/151 (unfol.)	46	TNA SP 28 151 46	Prebend end in the parish of Buckingham	7	
86	TNA, SP 28/151 (unfol.)	48	TNA SP 28 151 48	Chalfont St Peters, Burnham hundred	14	
87	TNA, SP 28/151 (unfol.)	49	TNA SP 28 151 49	Drayghton Perslowe, in the three hundreds of Cotteslowe	18	
88	TNA, SP 28/151 (unfol.)	50	TNA SP 28 151 50	Turweston alias Tursom	6	
89	TNA, SP 28/151 (unfol.)	51	TNA SP 28 151 51	Harwick cum Weedon	12	
90	TNA, SP 28/151 (unfol.)	52	TNA SP 28 151 52	Adstock, in the 3 hundreds of Buckingam	22	
91	TNA, SP 28/151 (unfol.)	53	TNA SP 28 151 53	Buckingham towne	21	
92	TNA, SP 28/151 (unfol.)	54	TNA SP 28 151 54	Westbury	9	
93	TNA, SP 28/151 (unfol.)	57	TNA SP 28 151 57	Steven Dell of lattemas in the parish of Chesham	1	
94	TNA, SP 28/196/1, ff. 125-128		TNA SP 28 196 1 125	Collcell hamlett	6	
95	TNA, SP 28/196/1, ff. 129-130		TNA SP 28 196 1 129	Pitchcott	4	
96	TNA, SP 28/219/4 (unfol.)		TNA SP 28 219 4	Ivingho cum membris	3	
97	TNA, SP 28/219/4 (unfol.)		TNA SP 28 219 4	Great Missenden		Includes several individual accounts: some from Great Missenden, some with no place name.
98	TNA, SP 28/221 (unfol.)		TNA SP 28 221	North Marston		Unfit for production in 2010.
99	TNA, SP 28/221 (unfol.)		TNA SP 28 221	Towersey		Unfit for production in 2010.
100	TNA, SP 28/221 (unfol.)		TNA SP 28 221	Mentmore		Unfit for production in 2010.
101	TNA, SP 28/221 (unfol.)		TNA SP 28 221	Great Missenden		Unfit for production in 2010.
