UnitID	Hundred	Parish	Township	PlaceName	VCH	Youngs	VoB	Status	Ref	OtherSources	Goodwin	Grenville	Tyrrill	Notes
133	Cottesloe	Hardwick	Weedon	Weedon	https://www.british-history.ac.uk/vch/bucks/vol3/pp363-367	42	10101426	extant	TNA, SP 28/151 (unfol.)			226r		
134	Cottesloe	Hardwick		Hardwick	https://www.british-history.ac.uk/vch/bucks/vol3/pp363-367	35	10046294	extant	TNA, SP 28/151 (unfol.)			226r		
135	Cottesloe	Hawridge		Hawridge	https://www.british-history.ac.uk/vch/bucks/vol3/pp367-369	35	10219954	no trace						
136	Cottesloe	Hoggeston		Hoggeston	https://www.british-history.ac.uk/vch/bucks/vol3/pp369-372	36	10009455	no trace						
137	Cottesloe	Ivinghoe		Ivinghoe	https://www.british-history.ac.uk/vch/bucks/vol3/pp379-387	36	10065410	extant	TNA, SP 28/219/4 (unfol.)		210r	225v	279r	
138	Cottesloe	Linslade		Linslade	https://www.british-history.ac.uk/vch/bucks/vol3/pp387-391	37	10103526	no trace						
139	Cottesloe	Little Horwood		Little Horwood	https://www.british-history.ac.uk/vch/bucks/vol3/pp376-379	36	10116480	extant	TNA, SP 28/151 (unfol.)			226v		
140	Cottesloe	Marsworth		Marsworth	https://www.british-history.ac.uk/vch/bucks/vol3/pp391-397	38	10211396	extant	TNA, SP 28/149/4, f. 626				278r	
141	Cottesloe	Mentmore		Mentmore	https://www.british-history.ac.uk/vch/bucks/vol3/pp397-401	38	10177133	extant	TNA, SP 28/221 (unfol.)				278r	
142	Cottesloe	Mursley		Mursley	https://www.british-history.ac.uk/vch/bucks/vol3/pp401-406	38	10212364	extant	TNA, SP 28/151 (unfol.)					
143	Cottesloe	Pitstone		Pitstone	https://www.british-history.ac.uk/vch/bucks/vol3/pp406-412	39	10157742	lost				226r	278r	
144	Cottesloe	Shenley	Shenley Brook End	Shenley Brook End	https://www.british-history.ac.uk/vch/bucks/vol4/pp445-451	40	10194880	extant	TNA, SP 28/151 (unfol.)					
145	Cottesloe	Slapton		Slapton	https://www.british-history.ac.uk/vch/bucks/vol3/pp412-414	40	10198665	extant	TNA, SP 28/151 (unfol.)			225v	278r	Two copies of same account.
146	Cottesloe	Soulbury		Soulbury	https://www.british-history.ac.uk/vch/bucks/vol3/pp414-420	40	10117112	extant	TNA, SP 28/150/2, ff. 139-146				279r	
147	Cottesloe	Stewkley		Stewkley	https://www.british-history.ac.uk/vch/bucks/vol3/pp420-426	40	10117148	lost					278r	
148	Cottesloe	Swanbourne		Swanbourne	https://www.british-history.ac.uk/vch/bucks/vol3/pp427-432	41	10117677	lost			209r	225v		
149	Cottesloe	Tattenhoe		Tattenhoe	https://www.british-history.ac.uk/vch/bucks/vol3/pp432-435	41	10065884	no trace						
150	Cottesloe	Whaddon	Nash	Nash	https://www.british-history.ac.uk/vch/bucks/vol3/pp435-442	38	10116880	extant	TNA, SP 28/151 (unfol.)					
151	Cottesloe	Whaddon		Whaddon	https://www.british-history.ac.uk/vch/bucks/vol3/pp435-442	42	10066001	no trace						
152	Cottesloe	Whitchurch		Whitchurch	https://www.british-history.ac.uk/vch/bucks/vol3/pp442-449	42	10088951	extant	TNA, SP 28/151 (unfol.)			225v		
153	Cottesloe	Wing		Wing	https://www.british-history.ac.uk/vch/bucks/vol3/pp449-458	42	10096480	extant	TNA, SP 28/148/2, ff. 365-366		210r		279r	
154	Cottesloe	Wingrave with Rowsham		Wingrave with Rowsham	https://www.british-history.ac.uk/vch/bucks/vol3/pp458-465	42	10010780	extant	TNA, SP 28/149/4, ff. 649-650		209r	225v	279r	
155	Cottesloe	Winslow with Shipton		Winslow with Shipton	https://www.british-history.ac.uk/vch/bucks/vol3/pp465-470	42	10118037	extant	TNA, SP 28/151 (unfol.)			226v	279r	
156	Desborough	Bradenham		Bradenham	https://www.british-history.ac.uk/vch/bucks/vol3/pp35-37	32	10176580	extant	TNA, SP 28/150/1, ff. 93-101			222r		
157	Desborough	Chepping Wycombe (aka High Wycombe)	Foreigns of Chepping Wycombe	Chepping Wycombe	https://www.british-history.ac.uk/vch/bucks/vol3/pp112-134	none		extant	TNA, SP 28/151 (unfol.)					
158	Desborough	Chepping Wycombe (aka High Wycombe)		Chepping Wycombe (aka High Wycombe)	https://www.british-history.ac.uk/vch/bucks/vol3/pp112-134	43	10010871	extant	TNA, SP 28/150/6, ff. 570-572	Tax account: TNA, SP 28/151 (unfol., order 5).		226v, 227r, 228r		TNA, SP 28/151 (unfol.) DocID 50 includes 'wicombe': not clear whether Chepping/High or West.
159	Desborough	Fawley		Fawley	https://www.british-history.ac.uk/vch/bucks/vol3/pp37-42	34	10194611	extant	TNA, SP 28/149/4, ff. 624-625			227r		
160	Desborough	Fingest		Fingest	https://www.british-history.ac.uk/vch/bucks/vol3/pp42-45	34	10116247	no trace						
161	Desborough	Great Marlow		Great Marlow	https://www.british-history.ac.uk/vch/bucks/vol3/pp65-77	38	10009753	extant	TNA, SP 28/149/4, ff. 600-609			226v		
162	Desborough	Hambleden		Hambleden	https://www.british-history.ac.uk/vch/bucks/vol3/pp45-54	35	10094732	no trace						
163	Desborough	Hedsor		Hedsor	https://www.british-history.ac.uk/vch/bucks/vol3/pp54-57	35	10116454	no trace						
164	Desborough	Hughenden		Hughenden	https://www.british-history.ac.uk/vch/bucks/vol3/pp57-62	36	10065320	extant	TNA, SP 28/151 (unfol.)			227r		
165	Desborough	Lewknor (Oxfordshire)	Lewknor Uphill	Lewknor Uphill		37	10118712	no trace						
166	Desborough	Little Marlow		Little Marlow	https://www.british-history.ac.uk/vch/bucks/vol3/pp77-84	38	10087351	lost				226v		
167	Desborough	Medmenham		Medmenham	https://www.british-history.ac.uk/vch/bucks/vol3/pp84-89	38	10157675	no trace						
168	Desborough	Radnage		Radnage	https://www.british-history.ac.uk/vch/bucks/vol3/pp89-92	39	10177200	lost				227r		
169	Desborough	Saunderton		Saunderton	https://www.british-history.ac.uk/vch/bucks/vol3/pp92-95	39	10093120	lost				227r		
170	Desborough	Turville		Turville	https://www.british-history.ac.uk/vch/bucks/vol3/pp101-105	41	10010573	no trace						
171	Desborough	West Wycombe		West Wycombe	https://www.british-history.ac.uk/vch/bucks/vol3/pp135-140	44	10047146	lost				226v		TNA, SP 28/151 (unfol.) DocID 50 includes 'wicombe': not clear whether Chepping/High or West.
172	Desborough	Wooburn		Wooburn	https://www.british-history.ac.uk/vch/bucks/vol3/pp105-112	43	10010809	lost				227r		
173	Newport	Astwood		Astwood	https://www.british-history.ac.uk/vch/bucks/vol4/pp270-274	31	10064960	no trace						
174	Newport	Bletchley	Fenny Stratford	Fenny Stratford	https://www.british-history.ac.uk/vch/bucks/vol4/pp274-283	40	10010093	no trace						
175	Newport	Bletchley	Water Eaton	Water Eaton	https://www.british-history.ac.uk/vch/bucks/vol4/pp274-283	42	10010664	no trace						
176	Newport	Bletchley		Bletchley	https://www.british-history.ac.uk/vch/bucks/vol4/pp274-283	31	10115670	no trace						
177	Newport	Bow Brickhill		Bow Brickhill	https://www.british-history.ac.uk/vch/bucks/vol4/pp289-293	32	10045940	no trace						
178	Newport	Bradwell		Bradwell	https://www.british-history.ac.uk/vch/bucks/vol4/pp283-288	32	10115693	no trace						
179	Newport	Broughton		Broughton	https://www.british-history.ac.uk/vch/bucks/vol4/pp303-308	32	10045952	no trace						
180	Newport	Calverton		Calverton	https://www.british-history.ac.uk/vch/bucks/vol4/pp308-311	32	10218901	no trace						
181	Newport	Chicheley		Chicheley	https://www.british-history.ac.uk/vch/bucks/vol4/pp311-316	33	10176633	no trace						
182	Newport	Clifton Reynes		Clifton Reynes	https://www.british-history.ac.uk/vch/bucks/vol4/pp316-323	33	10157122	no trace						
183	Newport	Emberton		Emberton	https://www.british-history.ac.uk/vch/bucks/vol4/pp338-343	34	10009194	no trace						
184	Newport	Gayhurst		Gayhurst	https://www.british-history.ac.uk/vch/bucks/vol4/pp343-347	34	10009315	no trace						
185	Newport	Great Brickhill		Great Brickhill	https://www.british-history.ac.uk/vch/bucks/vol4/pp293-298	32	10008815	no trace						
186	Newport	Great Linford		Great Linford	https://www.british-history.ac.uk/vch/bucks/vol4/pp387-392	37	10157638	no trace						
187	Newport	Great Woolstone		Great Woolstone	https://www.british-history.ac.uk/vch/bucks/vol4/pp509-511	43	10010810	no trace						
188	Newport	Hanslope	Castlethorpe	Castlethorpe	https://www.british-history.ac.uk/vch/bucks/vol4/pp348-362	32	10157092	no trace						
189	Newport	Hanslope		Hanslope	https://www.british-history.ac.uk/vch/bucks/vol4/pp348-362	35	10116405	no trace						
190	Newport	Hardmead		Hardmead	https://www.british-history.ac.uk/vch/bucks/vol4/pp362-366	35	10116417	no trace						
191	Newport	Haversham		Haversham	https://www.british-history.ac.uk/vch/bucks/vol4/pp366-372	35	10211384	no trace						
192	Newport	Lathbury		Lathbury	https://www.british-history.ac.uk/vch/bucks/vol4/pp372-379	37	10046439	no trace						
193	Newport	Lavendon	Cold Brayfield	Cold Brayfield	https://www.british-history.ac.uk/vch/bucks/vol4/pp323-327	32	10216497	no trace						
194	Newport	Lavendon		Lavendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp379-387	37	10088914	no trace						
195	Newport	Little Brickhill		Little Brickhill	https://www.british-history.ac.uk/vch/bucks/vol4/pp298-303	32	10115711	no trace						
196	Newport	Little Woolstone		Little Woolstone	https://www.british-history.ac.uk/vch/bucks/vol4/pp512-515	43	10118074	no trace						
197	Newport	Loughton		Loughton	https://www.british-history.ac.uk/vch/bucks/vol4/pp395-401	37	10046476	no trace						
198	Newport	Milton Keynes		Milton Keynes	https://www.british-history.ac.uk/vch/bucks/vol4/pp401-405	38	10009790	no trace						
199	Newport	Moulsoe		Moulsoe	https://www.british-history.ac.uk/vch/bucks/vol4/pp406-409	38	10116867	no trace						
200	Newport	Newport Pagnell	Little Linford	Little Linford	https://www.british-history.ac.uk/vch/bucks/vol4/pp392-395	37	10116776	no trace						
201	Newport	Newport Pagnell		Newport Pagnell	https://www.british-history.ac.uk/vch/bucks/vol4/pp409-422	38	10046531	lost				227v		Charges on Grenvile only mentions individual account of Thomas Barnes. No trace of account for whole town.
202	Newport	Newton Blossomville		Newton Blossomville	https://www.british-history.ac.uk/vch/bucks/vol4/pp422-425	38	10009832	no trace						
203	Newport	Newton Longville		Newton Longville	https://www.british-history.ac.uk/vch/bucks/vol4/pp425-429	38	10065525	no trace						
204	Newport	North Crawley		North Crawley	https://www.british-history.ac.uk/vch/bucks/vol4/pp327-338	33	10194593	no trace						
205	Newport	Olney	Warrington	Warrington	https://www.british-history.ac.uk/vch/bucks/vol4/pp429-439	42	10010640	no trace						
206	Newport	Olney	Weston Underwood	Weston Underwood	https://www.british-history.ac.uk/vch/bucks/vol4/pp497-502	42	10217301	no trace						
207	Newport	Olney		Olney	https://www.british-history.ac.uk/vch/bucks/vol4/pp429-439	38	10177169	no trace						
208	Newport	Ravenstone		Ravenstone	https://www.british-history.ac.uk/vch/bucks/vol4/pp439-445	39	10083217	no trace						
209	Newport	Shenley	Shenley Church End	Shenley Church End	https://www.british-history.ac.uk/vch/bucks/vol4/pp445-451	40	10047444	no trace						
210	Newport	Sherington		Sherington	https://www.british-history.ac.uk/vch/bucks/vol4/pp451-458	40	10201676	no trace						
211	Newport	Simpson		Simpson	https://www.british-history.ac.uk/vch/bucks/vol4/pp458-462	40	10117082	no trace						
212	Newport	Stantonbury		Stantonbury	https://www.british-history.ac.uk/vch/bucks/vol4/pp462-466	40	10065628	no trace						
213	Newport	Stoke Goldington		Stoke Goldington	https://www.british-history.ac.uk/vch/bucks/vol4/pp466-470	40	10010020	no trace						
214	Newport	Stoke Hammond		Stoke Hammond	https://www.british-history.ac.uk/vch/bucks/vol4/pp471-476	40	10216503	no trace						
215	Newport	Stony Stratford		Stony Stratford	https://www.british-history.ac.uk/vch/bucks/vol4/pp476-482	41	10047468	no trace						
216	Newport	Tyringham with Filgrave		Tyringham with Filgrave	https://www.british-history.ac.uk/vch/bucks/vol4/pp482-485	41	10011462	no trace						
217	Newport	Walton		Walton	https://www.british-history.ac.uk/vch/bucks/vol4/pp485-489	42	10117872	no trace						
218	Newport	Wavendon		Wavendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp489-496	42	10117914	no trace						
219	Newport	Willen		Willen	https://www.british-history.ac.uk/vch/bucks/vol4/pp502-505	42	10093582	no trace						
220	Newport	Wolverton		Wolverton	https://www.british-history.ac.uk/vch/bucks/vol4/pp505-509	43	10095670	no trace						
221	Newport	Woughton-on-the-Green		Woughton-on-the-Green	https://www.british-history.ac.uk/vch/bucks/vol4/pp515-519	43	10218032	no trace						
222	Stoke	Datchet		Datchet	https://www.british-history.ac.uk/vch/bucks/vol3/pp249-255	33	10046142	extant	TNA, SP 28/151 (unfol.)					
223	Stoke	Denham		Denham	https://www.british-history.ac.uk/vch/bucks/vol3/pp255-261	34	10009145	no trace						
224	Stoke	Eton		Eton	https://www.british-history.ac.uk/vch/bucks/vol3/pp261-275	34	10213800	no trace						
225	Stoke	Fulmer		Fulmer	https://www.british-history.ac.uk/vch/bucks/vol3/pp275-278	34	10116272	no trace						
226	Stoke	Hedgerley		Hedgerley	https://www.british-history.ac.uk/vch/bucks/vol3/pp278-281	35	10195974	no trace						
227	Stoke	Horton		Horton	https://www.british-history.ac.uk/vch/bucks/vol3/pp281-286	36	10217957	no trace						
228	Stoke	Horton/Wraysbury	Colnbrook	Colnbrook	https://www.british-history.ac.uk/vch/bucks/vol3/pp246-249	33	10071100	lost				227v		Part in Middlesex.
229	Stoke	Iver		Iver	https://www.british-history.ac.uk/vch/bucks/vol3/pp286-294	36	10217969	no trace						
230	Stoke	Stoke Poges		Stoke Poges	https://www.british-history.ac.uk/vch/bucks/vol3/pp302-313	40	10046660	no trace						
231	Stoke	Upton-cum-Chalvey		Upton-cum-Chalvey	https://www.british-history.ac.uk/vch/bucks/vol3/pp314-318	41	10218020	no trace						
232	Stoke	Wexham		Wexham	https://www.british-history.ac.uk/vch/bucks/vol3/pp318-320	42	10117963	no trace						
233	Stoke	Wraysbury	Langley Marish	Langley Marish	https://www.british-history.ac.uk/vch/bucks/vol3/pp294-301	37	10009650	no trace						
234	Stoke	Wraysbury		Wraysbury	https://www.british-history.ac.uk/vch/bucks/vol3/pp320-325	44	10158382	no trace						
